1970년,1971년,1972년,1973년,1974년,1975년,1976년,1977년,1978년,1979년,1980년,1981년,1982년,1983년,1984년,1985년,1986년,1987년,1988년,1989년,1990년,1991년,1992년,1993년,1994년,1995년,1996년,1997년,1998년,1999년,2000년,2001년,2002년,2003년,2004년,2005년,2006년,2007년,2008년,2009년,2010년,2011년,2012년,2013년,2014년,2015년,2016년,2017년,2018년
73.104911,73.104911,71.43775,78.875592,77.6168,77.638938,70.650569,70.564705,75.18414,68.9896,70.07241,74.890125,75.743835,77.4674,79.397874,79.2354,75.734787,74.510624,78.979744,77.009578,77.69086,78.02362,74.885491,71.96558,82.70352,80.156192,78.11872,75.08547,77.17235,78.590909,79.411858,69.130048,71.57895,72.480024,79.214405,78.156584,79.192676,78.476096,78.06428,76.358802,77.18696,75.809733,75.6681,79.24296,73.174474,75.95241,81.353042,74.891677,81.90897
73.721056,73.721056,73.799914,80.56404,77.43235,77.543388,68.671702,70.87537,75.919463,70.002848,71.201608,76.60334,75.901585,77.67616,77.730464,76.537225,74.4318,76.09525,78.906704,78.1395,75.9299,79.20025,69.377504,74.224768,82.14545,82.431001,80.061185,78.508755,77.01837,79.02681,78.983946,75.432712,71.15545,71.85152,76.347065,77.945523,80.239658,76.92233,77.70371,77.108576,78.496364,75.6206,75.728519,78.869394,70.475722,76.276784,80.29914,73.01245,81.936389
72.615559,72.615559,76.6836,81.97912,75.153952,77.313,69.511264,70.746196,76.613708,73.367634,72.8274,74.636549,75.4272,75.94944,73.66424,74.94842,75.501225,76.733409,77.521785,75.042332,77.09362,79.62615,69.05365,71.05984,82.113446,80.535115,76.347065,73.987928,74.271156,78.72368,79.23641,76.071592,72.575678,71.48503,76.007578,78.30812,79.941074,77.046276,75.674824,77.42444,77.53337,74.835715,73.56044,79.637795,74.014879,77.071416,79.374395,70.962378,82.141385
70.452679,70.452679,78.175758,82.071255,77.23973,78.49828,73.246936,69.17984,75.106074,74.4294,72.241192,74.593945,76.055636,76.82115,71.663699,73.76208,75.24164,75.03296,77.94456,73.079995,73.643933,78.593312,73.4026,68.885035,81.559038,79.62206,75.922165,74.260549,75.739386,78.993708,79.208976,78.835237,72.274426,70.884335,74.91,79.428448,79.990845,78.535424,69.580302,77.967022,74.415316,75.7251,75.23072,79.680134,75.968321,75.618258,79.577843,72.230435,78.32251
67.555104,67.555104,77.492025,76.733975,77.33815,80.02292,75.57966,71.30248,76.7537,73.66424,66.624525,75.3585,76.899846,78.78531,75.1964,73.66748,73.587929,74.061796,76.47265,73.7409,73.86704,78.696416,70.984205,71.658576,78.291512,80.031996,77.24316,75.420592,75.432712,80.62876,79.349008,80.3174,72.2142,70.71501,72.817359,79.06506,76.558616,77.981184,72.32457,75.665232,75.278998,73.844493,78.1395,79.369648,73.41206,75.24691,79.760804,74.292292,73.357944
68.0104,68.0104,69.683495,77.71071,74.8532,79.645345,76.12498,71.26963,73.54332,72.12515,71.46325,76.089155,77.34471,76.401817,79.927965,78.62654,72.3836,74.996144,77.27116,74.66724,74.780675,78.187336,73.9486,71.05472,77.4487,80.128015,77.397798,78.063848,75.415485,76.81504,79.340303,78.266978,74.130095,69.342494,73.205248,75.765725,73.9712,77.21394,72.089915,77.613286,76.72936,74.516984,78.472284,79.208976,71.3623,76.878279,79.990319,76.476172,73.338318
68.814791,68.814791,65.546249,77.1984,77.616512,79.930378,75.981685,72.12912,72.0215,74.104504,72.513112,76.159003,77.50788,73.35413,79.36775,80.522618,75.984625,75.975685,76.750934,74.71057,75.46385,77.92755,74.1787,72.53124,76.118752,75.20405,77.782516,79.739372,75.363176,75.003708,74.57082,77.04542,71.203616,70.205956,69.608832,69.753644,71.46274,77.627348,72.2117,78.470224,79.473375,73.515136,78.996318,78.524802,71.875582,76.607096,79.655145,76.187562,76.032708
70.571156,70.571156,70.4903,77.166685,81.44402,79.431128,77.602568,72.315032,67.87567,73.697676,73.148105,74.430014,75.836655,69.96965,77.55765,79.84949,74.47159,74.357187,76.235652,74.06301,75.062528,79.490467,74.53724,71.88064,74.175495,75.543036,78.40395,78.258508,75.112368,75.688264,71.469261,77.002418,72.068225,75.113736,71.21604,70.760872,71.516072,77.67672,71.137835,76.383725,79.542066,71.600561,76.353404,76.44612,75.20472,75.06273,79.82541,73.378608,77.938004
72.493716,72.493716,70.81288,77.17552,79.716,80.244654,78.39949,72.586588,72.54648,74.60114,73.337728,73.12653,72.493445,69.93484,76.295095,79.179392,71.752778,75.069039,75.315584,71.813366,74.312066,76.824995,74.8532,66.5995,73.05712,76.450166,79.08314,79.164848,73.662945,73.183666,71.740299,77.715894,73.39224,77.802335,71.967425,71.642431,76.401292,78.62654,69.935248,73.217928,79.177702,72.805504,75.970938,77.430388,73.280085,75.049384,80.420475,76.36023,76.438276
71.286176,71.286176,72.01509,76.022973,78.058055,80.07382,77.860717,72.0676,76.8552,71.885768,74.310672,73.534848,73.319344,70.2928,74.41885,79.920055,70.34675,75.800258,73.796662,74.091894,77.21198,74.370396,75.296912,70.775885,72.437998,76.52886,76.81133,75.355216,75.274405,71.679224,74.490005,76.790576,71.931552,77.84054,70.922368,70.92361,77.616512,77.3123,63.874479,72.440624,79.397874,71.73601,70.1414,78.651302,74.774602,74.59461,80.50094,77.398262,79.873313
